SL. NO.,Category,SUB-CATEGORY,ITEMS,UOM,CATG.,SUB CATG.,,ITEM,Product Code,Actual Product Code
31,Cleaning Consumables,Cleaner,Yellow Sponge,NO,C,CL,-,YLWSPNG,CCL-YLWSPNG,CCL-YLWSPNG
32,Cleaning Consumables,Cleaner,Patti Blade 3inch,NO,C,CL,-,PATBLD3,CCL-PATBLD3,CCL-PATBLD3
33,Cleaning Consumables,Cleaner,Patti Blade 4Inch,NO,C,CL,-,PATBLD4,CCL-PATBLD4,CCL-PATBLD4
34,Cleaning Consumables,Cleaner,Patti Blade 6Inch,NO,C,CL,-,PATBLD6,CCL-PATBLD6,CCL-PATBLD6
35,Cleaning Consumables,Cleaner,Scrotch Brite,NO,C,CL,-,SCRBRT,CCL-SCRBRT,CCL-SCRBRT
36,Cleaning Consumables,Cleaner,White Sponge,BX,C,CL,-,WHTSPNG,CCL-WHTSPNG,CCL-WHTSPNG
37,Cleaning Consumables,Gloves,Rubber Hand Gloves - Red,ST,C,GL,-,RGLVRED,CGL-RGLVRED,CGL-RGLVRED
38,Cleaning Consumables,Gloves,Rubber Hand Gloves - Green,ST,C,GL,-,RGLVGRN,CGL-RGLVGRN,CGL-RGLVGRN
39,Cleaning Consumables,Gloves,Rubber Hand Gloves - Blue,ST,C,GL,-,RGLVBLU,CGL-RGLVBLU,CGL-RGLVBLU
40,Cleaning Consumables,Gloves,Surgical Gloves ,ST,C,GL,-,SRGGLV,CGL-SRGGLV,CGL-SRGGLV
41,Cleaning Consumables,Gloves,Cotton Gloves (White),ST,C,GL,-,CTNGLV,CGL-CTNGLV,CGL-CTNGLV
42,Cleaning Consumables,Gloves,Disposal Plastic Gloves,ST,C,GL,-,DISPGLV,CGL-DISPGLV,CGL-DISPGLV
43,Cleaning Consumables,Personal Care,Head Cap,NO,C,PC,-,HEDCP,CPC-HEDCP,CPC-HEDCP
44,Cleaning Consumables,Personal Care,Face Mask,NO,C,PC,-,FCEMSK,CPC-FCEMSK,CPC-FCEMSK
45,Cleaning Consumables,Personal Care,Facial Tissue Box,BX,C,PC,-,FCETISE,CPC-FCETISE,CPC-FCETISE
46,Cleaning Consumables,Towels,Kitchen Towel,NO,C,TW,-,KITTWL,CTW-KITTWL,CTW-KITTWL
47,Cleaning Consumables,Towels,Glass Cloth,NO,C,TW,-,GLSCLT,CTW-GLSCLT,CTW-GLSCLT
48,Cleaning Consumables,Towels,Yellow Cloth,NO,C,TW,-,YLWCLT,CTW-YLWCLT,CTW-YLWCLT
49,Cleaning Consumables,Towels,Micro Fiber Cloth - Red,NO,C,TW,-,MFCRED,CTW-MFCRED,CTW-MFCRED
50,Cleaning Consumables,Towels,Micro Fiber Cloth - Blue,NO,C,TW,-,MFCBLU,CTW-MFCBLU,CTW-MFCBLU
51,Cleaning Consumables,Towels,Micro Fiber Cloth - Green,NO,C,TW,-,MFCGRN,CTW-MFCGRN,CTW-MFCGRN
52,Cleaning Consumables,Towels,Micro Fiber Cloth - White,NO,C,TW,-,MFCWHT,CTW-MFCWHT,CTW-MFCWHT
